freq(fdbf_+66),vel(fdbf_+66),wav(fdbf_+66),freq(fdbf_+56),vel(fdbf_+56),wav(fdbf_+56),freq(fdbf_+51),vel(fdbf_+51),wav(fdbf_+51),freq(fdbf_+48),vel(fdbf_+48),wav(fdbf_+48),freq(fdbf_-2),vel(fdbf_-2),wav(fdbf_-2),freq(fdbf_-5),vel(fdbf_-5),wav(fdbf_-5),freq(fdbf_-10),vel(fdbf_-10),wav(fdbf_-10),freq(fdbf_-20),vel(fdbf_-20),wav(fdbf_-20),freq(fdbf_-33),vel(fdbf_-33),wav(fdbf_-33)
3.0625,204.72618154538634,66.84936540257513,3.0625,535.2213053263315,174.7661405147205,3.0625,499.32483120780194,163.0448428433639,3.0625,241.86046511627904,78.97484575225438,3.0625,4993.810952738184,1630.6321478328764,3.0625,4993.810952738184,1630.6321478328764,3.0625,4993.810952738184,1630.6321478328764,3.0625,1005.588897224306,328.3555582773244,3.0625,4993.810952738184,1630.6321478328764
3.125,210.9152288072018,67.49287321830458,3.125,529.0322580645161,169.29032258064515,3.125,472.09302325581393,151.06976744186045,3.125,259.18979744936235,82.94073518379595,3.125,4993.810952738184,1598.019504876219,3.125,4993.810952738184,1598.019504876219,3.125,4993.810952738184,1598.019504876219,3.125,1180.1200300075018,377.63840960240054,3.125,4993.810952738184,1598.019504876219
3.1875,218.34208552138034,68.49947781062913,3.1875,535.2213053263315,167.91256637688832,3.1875,451.0502625656414,141.50596472647572,3.1875,267.85446361590397,84.03277289910713,3.1875,4993.810952738184,1566.6857890943322,3.1875,4993.810952738184,1566.6857890943322,3.1875,4993.810952738184,1566.6857890943322,3.1875,1370.7426856714178,430.0369209949546,3.1875,4993.810952738184,1566.6857890943322
3.25,228.24456114028507,70.22909573547233,3.25,550.0750187546887,169.2538519245196,3.25,436.1965491372843,134.2143228114721,3.25,271.56789197299327,83.55935137630561,3.25,4993.810952738184,1536.5572162271335,3.25,4993.810952738184,1536.5572162271335,3.25,4993.810952738184,1536.5572162271335,3.25,1612.1155288822204,496.0355473483755,3.25,4993.810952738184,1536.5572162271335
3.3125,236.9092273068267,71.51976673413635,3.3125,574.8312078019504,173.53394952511712,3.3125,425.05626406601647,128.3188721708729,3.3125,272.80570142535635,82.35643816614531,3.3125,4993.810952738184,1507.5655706379423,3.3125,4993.810952738184,1507.5655706379423,3.3125,4993.810952738184,1507.5655706379423,3.3125,1968.6046511627906,594.2957437472576,3.3125,4993.810952738184,1507.5655706379423
3.375,243.09827456864215,72.02911839070879,3.375,614.4411102775694,182.05662526742796,3.375,418.867216804201,124.10880497902252,3.375,271.56789197299327,80.4645605845906,3.375,4993.810952738184,1479.6476897002026,3.375,4993.810952738184,1479.6476897002026,3.375,4993.810952738184,1479.6476897002026,3.375,2613.503375843961,774.3713706204328,3.375,4993.810952738184,1479.6476897002026
3.4375,244.33608402100523,71.07958807883789,3.4375,681.2828207051763,198.191366023324,3.4375,418.867216804201,121.8522812521312,3.4375,270.3300825206302,78.64147855145606,3.4375,4993.810952738184,1452.7450044329262,3.4375,4993.810952738184,1452.7450044329262,3.4375,4993.810952738184,1452.7450044329262,3.4375,4262.2655663915975,1239.931801132101,3.4375,4993.810952738184,1452.7450044329262
3.5,240.62265566391596,68.74933018969027,3.5,818.6796699174794,233.9084771192798,3.5,427.5318829707427,122.15196656306934,3.5,267.85446361590397,76.52984674740114,3.5,4993.810952738184,1426.8031293537667,3.5,4993.810952738184,1426.8031293537667,3.5,4993.810952738184,1426.8031293537667,3.5,4993.810952738184,1426.8031293537667,3.5,4993.810952738184,1426.8031293537667
3.5625,235.6714178544636,66.15338045037575,3.5625,1240.7726931732932,348.28707176794194,3.5625,451.0502625656414,126.61060001842566,3.5625,265.37884471117775,74.49230728734814,3.5625,4993.810952738184,1401.771495505455,3.5625,4993.810952738184,1401.771495505455,3.5625,4993.810952738184,1401.771495505455,3.5625,4993.810952738184,1401.771495505455,3.5625,4993.810952738184,1401.771495505455
3.625,230.72018004501123,63.64694621931344,3.625,4993.810952738184,1377.6030214450163,3.625,493.1357839459865,136.03745764027212,3.625,262.9032258064516,72.5250278086763,3.625,4993.810952738184,1377.6030214450163,3.625,4993.810952738184,1377.6030214450163,3.625,4993.810952738184,1377.6030214450163,3.625,4993.810952738184,1377.6030214450163,3.625,4993.810952738184,1377.6030214450163
