freq(fk_+66),vel(fk_+66),wav(fk_+66),freq(fk_+56),vel(fk_+56),wav(fk_+56),freq(fk_+51),vel(fk_+51),wav(fk_+51),freq(fk_+48),vel(fk_+48),wav(fk_+48),freq(fk_-2),vel(fk_-2),wav(fk_-2),freq(fk_-5),vel(fk_-5),wav(fk_-5),freq(fk_-10),vel(fk_-10),wav(fk_-10),freq(fk_-20),vel(fk_-20),wav(fk_-20),freq(fk_-30),vel(fk_-30),wav(fk_-30)
0.6875,392.85714285714283,571.4285714285714,0.6875,nan,nan,0.6875,27.63819095477386,40.20100502512562,0.6875,196.42857142857142,285.7142857142857,0.6875,37.67123287671233,54.79452054794521,0.6875,32.738095238095234,47.61904761904761,0.6875,47.41379310344826,68.96551724137929,0.6875,74.32432432432432,108.10810810810811,0.6875,96.49122807017542,140.35087719298244
0.75,285.7142857142857,380.95238095238096,0.75,nan,nan,0.75,29.7029702970297,39.603960396039604,0.75,206.8965517241379,275.8620689655172,0.75,41.95804195804195,55.94405594405594,0.75,37.03703703703704,49.382716049382715,0.75,19.292604501607716,25.723472668810288,0.75,80.0,106.66666666666667,0.75,78.94736842105263,105.26315789473684
0.8125,232.14285714285717,285.7142857142857,0.8125,nan,nan,0.8125,31.553398058252426,38.83495145631068,0.8125,232.14285714285717,285.7142857142857,0.8125,46.42857142857142,57.14285714285714,0.8125,41.139240506329116,50.63291139240506,0.8125,20.967741935483872,25.806451612903228,0.8125,85.52631578947368,105.26315789473685,0.8125,68.42105263157896,84.2105263157895
0.875,189.1891891891892,216.21621621621622,0.875,nan,nan,0.875,33.49282296650718,38.27751196172249,0.875,291.6666666666667,333.33333333333337,0.875,51.470588235294116,58.8235294117647,0.875,45.16129032258064,51.61290322580645,0.875,101.44927536231884,115.94202898550725,0.875,93.33333333333333,106.66666666666666,0.875,61.94690265486725,70.79646017699115
0.9375,166.66666666666666,177.77777777777777,0.9375,nan,nan,0.9375,35.37735849056604,37.735849056603776,0.9375,nan,nan,0.9375,58.13953488372093,62.01550387596899,0.9375,49.34210526315789,52.63157894736842,0.9375,99.99999999999999,106.66666666666666,0.9375,101.35135135135134,108.1081081081081,0.9375,57.692307692307686,61.53846153846153
1.0,148.14814814814815,148.14814814814815,1.0,nan,nan,1.0,37.2093023255814,37.2093023255814,1.0,nan,nan,1.0,19.90049751243781,19.90049751243781,1.0,53.333333333333336,53.333333333333336,1.0,97.56097560975608,97.56097560975608,1.0,111.1111111111111,111.1111111111111,1.0,54.79452054794521,54.79452054794521
1.0625,139.344262295082,131.14754098360658,1.0625,nan,nan,1.0625,39.1705069124424,36.86635944700461,1.0625,nan,nan,1.0625,20.78239608801956,19.559902200489,1.0625,57.823129251700685,54.421768707483,1.0625,95.5056179775281,89.88764044943821,1.0625,7.841328413284133,7.380073800738008,1.0625,52.79503105590063,49.68944099378883
1.125,132.35294117647058,117.6470588235294,1.125,2250.0,2000.0,1.125,41.28440366972477,36.69724770642202,1.125,nan,nan,1.125,nan,nan,1.125,62.06896551724138,55.17241379310345,1.125,93.75,83.33333333333333,1.125,8.287292817679559,7.366482504604052,1.125,51.13636363636365,45.45454545454547
1.1875,128.37837837837836,108.10810810810808,1.1875,949.9999999999999,799.9999999999999,1.1875,44.392523364485974,37.38317757009345,1.1875,nan,nan,1.1875,nan,nan,1.1875,66.90140845070421,56.33802816901407,1.1875,94.05940594059405,79.2079207920792,1.1875,8.73965041398344,7.359705611775529,1.1875,50.26455026455026,42.32804232804232
1.25,124.99999999999999,99.99999999999999,1.25,714.2857142857143,571.4285714285714,1.25,51.02040816326531,40.816326530612244,1.25,nan,nan,1.25,nan,nan,1.25,71.94244604316546,57.55395683453237,1.25,94.33962264150944,75.47169811320755,1.25,9.191176470588236,7.352941176470589,1.25,49.5049504950495,39.6039603960396
1.3125,120.68965517241378,91.95402298850574,1.3125,617.6470588235294,470.5882352941176,1.3125,60.693641618497104,46.24277456647398,1.3125,nan,nan,1.3125,nan,nan,1.3125,77.20588235294117,58.8235294117647,1.3125,96.3302752293578,73.39449541284404,1.3125,9.650735294117647,7.352941176470588,1.3125,49.06542056074766,37.38317757009346
1.375,115.78947368421052,84.21052631578947,1.375,611.111111111111,444.44444444444434,1.375,66.66666666666666,48.48484848484848,1.375,nan,nan,1.375,91.66666666666666,66.66666666666666,1.375,60.10928961748633,43.71584699453552,1.375,98.21428571428571,71.42857142857143,1.375,10.1010101010101,7.3461891643709825,1.375,48.888888888888886,35.55555555555555
1.4375,18.638573743922205,12.965964343598056,1.4375,821.4285714285714,571.4285714285714,1.4375,69.69696969696969,48.48484848484848,1.4375,nan,nan,1.4375,92.74193548387098,64.51612903225806,1.4375,49.14529914529914,34.18803418803419,1.4375,101.76991150442477,70.79646017699115,1.4375,10.56985294117647,7.352941176470587,1.4375,48.52320675105484,33.75527426160337
1.5,19.41747572815534,12.944983818770226,1.5,3000.0,2000.0,1.5,71.0059171597633,47.33727810650887,1.5,nan,nan,1.5,95.23809523809523,63.49206349206349,1.5,59.4059405940594,39.603960396039604,1.5,105.26315789473684,70.17543859649122,1.5,56.60377358490566,37.735849056603776,1.5,48.38709677419355,32.25806451612903
1.5625,20.193861066235865,12.924071082390954,1.5625,nan,nan,1.5625,71.42857142857143,45.714285714285715,1.5625,nan,nan,1.5625,99.2063492063492,63.49206349206349,1.5625,72.67441860465117,46.51162790697675,1.5625,109.64912280701753,70.17543859649122,1.5625,58.68544600938967,37.55868544600939,1.5625,48.262548262548265,30.88803088803089
1.625,66.66666666666667,41.02564102564103,1.625,nan,nan,1.625,71.82320441988952,44.19889502762432,1.625,nan,nan,1.625,103.17460317460318,63.492063492063494,1.625,81.76100628930818,50.314465408805034,1.625,117.11711711711712,72.07207207207207,1.625,59.90783410138249,36.86635944700461,1.625,302.3255813953488,186.04651162790697
1.6875,65.21739130434781,38.647342995169076,1.6875,nan,nan,1.6875,71.80851063829786,42.553191489361694,1.6875,103.84615384615384,61.53846153846153,1.6875,107.14285714285712,63.49206349206348,1.6875,88.8157894736842,52.63157894736842,1.6875,128.57142857142858,76.1904761904762,1.6875,59.73451327433628,35.39823008849557,1.6875,236.84210526315786,140.35087719298244
1.75,64.51612903225806,36.866359447004605,1.75,64.51612903225806,36.866359447004605,1.75,71.7948717948718,41.02564102564103,1.75,107.6923076923077,61.53846153846154,1.75,112.0,64.0,1.75,95.23809523809524,54.421768707483,1.75,145.83333333333334,83.33333333333334,1.75,59.0717299578059,33.75527426160337,1.75,199.99999999999997,114.28571428571426
1.8125,63.87665198237885,35.242290748898675,1.8125,65.02242152466367,35.874439461883405,1.8125,71.78217821782178,39.603960396039604,1.8125,110.68702290076337,61.06870229007634,1.8125,117.88617886178862,65.04065040650407,1.8125,101.3986013986014,55.94405594405595,1.8125,168.6046511627907,93.0232558139535,1.8125,57.76892430278885,31.872509960159363,1.8125,172.61904761904762,95.23809523809524
1.875,61.728395061728385,32.92181069958847,1.875,66.07929515418502,35.242290748898675,1.875,71.77033492822966,38.27751196172248,1.875,112.78195488721802,60.15037593984961,1.875,123.96694214876032,66.11570247933884,1.875,107.14285714285712,57.14285714285713,1.875,187.49999999999997,99.99999999999999,1.875,56.81818181818181,30.3030303030303,1.875,153.0612244897959,81.63265306122449
1.9375,57.62081784386616,29.73977695167286,1.9375,67.39130434782608,34.78260869565217,1.9375,71.75925925925925,37.03703703703703,1.9375,114.8148148148148,59.25925925925925,1.9375,132.47863247863248,68.37606837606837,1.9375,113.13868613138685,58.3941605839416,1.9375,189.02439024390242,97.56097560975608,1.9375,56.15942028985507,28.98550724637681,1.9375,138.39285714285714,71.42857142857143
2.0,nan,nan,2.0,68.9655172413793,34.48275862068965,2.0,71.42857142857143,35.714285714285715,2.0,115.94202898550725,57.971014492753625,2.0,142.85714285714286,71.42857142857143,2.0,120.30075187969923,60.15037593984962,2.0,175.82417582417582,87.91208791208791,2.0,55.749128919860624,27.874564459930312,2.0,125.98425196850394,62.99212598425197
2.0625,nan,nan,2.0625,70.81545064377683,34.33476394849786,2.0625,71.12068965517241,34.48275862068965,2.0625,117.02127659574468,56.737588652482266,2.0625,155.66037735849056,75.47169811320755,2.0625,126.92307692307692,61.53846153846154,2.0625,163.36633663366337,79.20792079207921,2.0625,55.74324324324324,27.027027027027028,2.0625,116.19718309859154,56.33802816901408
